Beautiful Soup,Lxml,Regular expressions
0.020054101943969727,0.014562606811523438,0.0025043487548828125
0.04008340835571289,0.018048524856567383,0.005521297454833984
0.05813193321228027,0.021056413650512695,0.008020639419555664
0.07670927047729492,0.026569843292236328,0.010526895523071289
0.09623336791992188,0.030103206634521484,0.013534069061279297
0.11528372764587402,0.033590078353881836,0.01603984832763672
0.1353607177734375,0.03709983825683594,0.019047975540161133
0.15488719940185547,0.04060840606689453,0.021556615829467773
0.17396306991577148,0.043616533279418945,0.0240631103515625
0.1945328712463379,0.047132015228271484,0.027071475982666016
0.21504783630371094,0.05013394355773926,0.029578208923339844
0.2341015338897705,0.053641319274902344,0.03358745574951172
0.25418972969055176,0.05715060234069824,0.036095380783081055
0.27320408821105957,0.060158491134643555,0.03860187530517578
0.2917513847351074,0.06369376182556152,0.041132211685180664
0.310302734375,0.06720304489135742,0.04363894462585449
0.32885313034057617,0.07068896293640137,0.04612231254577637
0.3479011058807373,0.0747227668762207,0.048628807067871094
0.3684577941894531,0.0782315731048584,0.05113387107849121
0.38753676414489746,0.08123946189880371,0.05364203453063965
0.40605783462524414,0.08472442626953125,0.05617713928222656
0.424607515335083,0.08773207664489746,0.0581815242767334
0.44315481185913086,0.09124135971069336,0.060689449310302734
0.4622070789337158,0.09478235244750977,0.06319642066955566
0.4807565212249756,0.09779000282287598,0.06570172309875488
0.49980735778808594,0.10127067565917969,0.06818056106567383
0.5204010009765625,0.10477948188781738,0.07068753242492676
0.5389094352722168,0.10828661918640137,0.07322216033935547
0.5574610233306885,0.11129474639892578,0.0757288932800293
0.5760097503662109,0.11483001708984375,0.07823729515075684
0.5950596332550049,0.11831450462341309,0.08074259757995605
0.6146416664123535,0.12184858322143555,0.08324813842773438
0.6331603527069092,0.12485599517822266,0.08575558662414551
0.652712345123291,0.12836647033691406,0.08826327323913574
0.6722941398620605,0.13137316703796387,0.09076857566833496
0.6928446292877197,0.1353614330291748,0.09374737739562988
0.7123730182647705,0.13886809349060059,0.09625554084777832
0.7309205532073975,0.14240312576293945,0.09876036643981934
0.7499711513519287,0.14541101455688477,0.10126686096191406
0.7695250511169434,0.1488969326019287,0.1037752628326416
0.7880744934082031,0.15242862701416016,0.10630583763122559
0.8066468238830566,0.15594005584716797,0.10878682136535645
0.8256726264953613,0.15944766998291016,0.11079192161560059
0.8457260131835938,0.16243290901184082,0.11380195617675781
0.8707966804504395,0.16594243049621582,0.11580729484558105
0.8903470039367676,0.1689598560333252,0.11831235885620117
0.9114007949829102,0.17245769500732422,0.120819091796875
0.9309935569763184,0.17546534538269043,0.12385392189025879
0.9500036239624023,0.17897486686706543,0.1263587474822998
0.9685547351837158,0.18248701095581055,0.12884235382080078
0.9876329898834229,0.18549418449401855,0.1313490867614746
1.007157325744629,0.18900179862976074,0.13385605812072754
1.0272088050842285,0.19251108169555664,0.13636207580566406
1.0538203716278076,0.19602227210998535,0.13939428329467773
1.0728557109832764,0.1995549201965332,0.1418769359588623
1.0918827056884766,0.20354342460632324,0.14438176155090332
1.110961675643921,0.2080552577972412,0.14688801765441895
1.1305131912231445,0.211564302444458,0.14939475059509277
1.1505370140075684,0.21510624885559082,0.1519014835357666
1.1695895195007324,0.2190868854522705,0.15390706062316895
1.1876375675201416,0.22259116172790527,0.15641379356384277
1.206716775894165,0.22559881210327148,0.1589205265045166
1.2277424335479736,0.22863340377807617,0.16142678260803223
1.247797966003418,0.2321457862854004,0.16393351554870605
1.2663471698760986,0.2361290454864502,0.1659390926361084
1.285426378250122,0.24013996124267578,0.16847705841064453
1.3039748668670654,0.24364924430847168,0.17096638679504395
1.322995662689209,0.24665498733520508,0.17348861694335938
1.342548131942749,0.25018978118896484,0.17596745491027832
1.3616235256195068,0.25467920303344727,0.17847442626953125
1.381152868270874,0.2576863765716553,0.1804795265197754
1.4002032279968262,0.26119351387023926,0.18298625946044922
1.4187507629394531,0.2642018795013428,0.18549299240112305
1.4367988109588623,0.2677130699157715,0.18799948692321777
1.4568521976470947,0.27122998237609863,0.19000482559204102
1.4759330749511719,0.27475643157958984,0.19251155853271484
1.4949665069580078,0.27776503562927246,0.19501829147338867
1.5135352611541748,0.28225016593933105,0.1975250244140625
1.5335562229156494,0.28575921058654785,0.19952821731567383
1.557145357131958,0.28926825523376465,0.20253849029541016
1.5766711235046387,0.2937803268432617,0.20504498481750488
1.5957531929016113,0.2972898483276367,0.2075517177581787
1.6147723197937012,0.30030035972595215,0.20955705642700195
1.6333236694335938,0.3053107261657715,0.21206378936767578
1.6534004211425781,0.308319091796875,0.2145686149597168
1.6724257469177246,0.3118307590484619,0.21657371520996094
1.6909751892089844,0.3149120807647705,0.21908020973205566
1.7100260257720947,0.3183469772338867,0.2215895652770996
1.73008131980896,0.32189011573791504,0.22462058067321777
1.749143123626709,0.3253953456878662,0.2271273136138916
1.7682058811187744,0.328876256942749,0.22963380813598633
1.7872331142425537,0.3319072723388672,0.2321176528930664
1.80631422996521,0.3354158401489258,0.2346515655517578
1.8253331184387207,0.3389003276824951,0.23665690422058105
1.8438823223114014,0.34190845489501953,0.23963713645935059
1.8629629611968994,0.345447301864624,0.2421436309814453
1.8845288753509521,0.34895825386047363,0.24414873123168945
1.9035425186157227,0.3534677028656006,0.24667930603027344
1.923093318939209,0.35697412490844727,0.2491905689239502
1.9421696662902832,0.35998106002807617,0.2516670227050781
1.9612202644348145,0.3634908199310303,0.25467538833618164
1.9802451133728027,0.3670053482055664,0.25718140602111816
1.9993278980255127,0.36998534202575684,0.2596883773803711
2.0188496112823486,0.37349653244018555,0.26219725608825684
2.036895751953125,0.37700414657592773,0.26473140716552734
2.058453321456909,0.38051319122314453,0.2667090892791748
2.077002763748169,0.38352108001708984,0.26921582221984863
2.0960865020751953,0.38703083992004395,0.27172088623046875
2.1161348819732666,0.39003658294677734,0.2737257480621338
2.135160446166992,0.39404797554016113,0.2762324810028076
2.1537086963653564,0.3975827693939209,0.27873921394348145
2.1727590560913086,0.4010908603668213,0.2812459468841553
2.1918342113494873,0.4040987491607666,0.2832512855529785
2.2128660678863525,0.40761590003967285,0.28575778007507324
2.231914520263672,0.41112375259399414,0.2887911796569824
2.2539749145507812,0.41410255432128906,0.2912728786468506
2.279078960418701,0.4171106815338135,0.2937791347503662
